Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1963-04-01,1963,APR,MAM 1963,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.003,-0.79,NAN,0.8
1963-05-01,1963,MAY,AMJ 1963,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.100,-0.95,NAN,0.4
1963-06-01,1963,JUN,MJJ 1963,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.251,0.50,NAN,-0.5
1963-07-01,1963,JUL,JJA 1963,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.173,-1.10,NAN,-0.1
1963-08-01,1963,AUG,JAS 1963,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.367,-1.01,NAN,0.0
1963-09-01,1963,SEP,ASO 1963,1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.625,0.87,NAN,-0.6
1963-10-01,1963,OCT,SON 1963,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.722,0.93,NAN,-1.2
1963-11-01,1963,NOV,OND 1963,1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.930,-0.31,NAN,-0.8
1963-12-01,1963,DEC,NDJ 1963,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.273,1.46,NAN,-1.2
1964-01-01,1964,JAN,DJF 1964,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.342,-0.44,NAN,-0.4
1964-02-01,1964,FEB,JFM 1964,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.304,1.36,NAN,0.0
